start,outcome,consent_G0,consent_G1b,Δconsent,consent_path_G0,consent_path_G1b,total_G0,total_G1b,Δtotal,total_path_G0,total_path_G1b
ContactUs,ConsentSaved,2,0,-2,ContactUs —click(manage)→ Manage —to(modal)→ Modal —click(save)→ Save → ConsentSaved,ContactUs —requires(analytics)→ AnalyticsSvc —implicit_first_use→ ConsentSaved,4,2,-2,ContactUs —click(manage)→ Manage —to(modal)→ Modal —click(save)→ Save → ConsentSaved,ContactUs —requires(analytics)→ AnalyticsSvc —implicit_first_use→ ConsentSaved
ContactUs,OutcomeTelemetry,,,,,,,,,,
Login,Out_BasicAccess,,,,,,,,,,
Login,Out_SecuredLogin,,,,,,,,,,
Login,Out_AllMedia,,,,,,,,,,
Login,Out_Payments,,,,,,,,,,
Login,Out_Personalized,,,,,,,,,,
Login,Out_AllContent,,,,,,,,,,
Login,ConsentSaved,2,0,-2,Login —click(manage)→ Manage —to(modal)→ Modal —click(save)→ Save → ConsentSaved,Login —login → prompt→ Quick_Security → ConsentSaved,4,2,-2,Login —click(manage)→ Manage —to(modal)→ Modal —click(save)→ Save → ConsentSaved,Login —login → prompt→ Quick_Security → ConsentSaved
Login,OutcomeTelemetry,,,,,,,,,,
Manage,Out_BasicAccess,,,,,,,,,,
Manage,Out_SecuredLogin,,,,,,,,,,
Manage,Out_AllMedia,,,,,,,,,,
Manage,Out_Payments,,,,,,,,,,
Manage,Out_Personalized,,,,,,,,,,
Manage,Out_AllContent,,,,,,,,,,
Manage,ConsentSaved,1,0,-1,Manage —to(modal)→ Modal —click(save)→ Save → ConsentSaved,Manage —to(modal)→ Modal —toggle ON→ AccAnalytics → AnalyticsSvc —implicit_first_use→ ConsentSaved,3,2,-1,Manage —to(modal)→ Modal —click(save)→ Save → ConsentSaved,Manage —inline allow→ Quick_ExtMedia → ConsentSaved
Manage,OutcomeTelemetry,,,,,,,,,,
Modal,Out_BasicAccess,,,,,,,,,,
Modal,Out_SecuredLogin,,,,,,,,,,
Modal,Out_AllMedia,,,,,,,,,,
Modal,Out_Payments,,,,,,,,,,
Modal,Out_Personalized,,,,,,,,,,
Modal,Out_AllContent,,,,,,,,,,
Modal,ConsentSaved,1,0,-1,Modal —click(save)→ Save → ConsentSaved,Modal —toggle ON→ AccAnalytics → AnalyticsSvc —implicit_first_use→ ConsentSaved,2,2,0,Modal —click(save)→ Save → ConsentSaved,Modal —toggle ON→ AccAnalytics —click(auto_apply)→ ConsentSaved
Modal,OutcomeTelemetry,,,,,,,,,,
LetMeChoose,Out_BasicAccess,,,,,,,,,,
LetMeChoose,Out_SecuredLogin,,,,,,,,,,
LetMeChoose,Out_AllMedia,,,,,,,,,,
LetMeChoose,Out_Payments,,,,,,,,,,
LetMeChoose,Out_Personalized,,,,,,,,,,
LetMeChoose,Out_AllContent,,,,,,,,,,
